Status,Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project
,Crêt du Bourg,765,45.814899,6.199995,Summer,Trail Running,T2,9.1,1.2,477,Tailefer,Annecy
,Montagne d'Entrevernes,1338,45.7996561,6.1798294,Summer,Trail Running,T1,13.4,3,900,Montagne_d'Entrevernes,Annecy
,Semnoz,1699,45.7976609,6.1071615,Summer,Bike,T4,77,3.5,1466,Semnoz,Annecy
,Mont Charvin,2409,45.8024321,6.420147,Summer,Hike,T4,10.5,3.2,1100,Mont_Charvin,Aravis
to do,La Goenne,2174,45.810819,6.425607,,,,,,,,Aravis
to do,Tête de l'Aulp,2129,45.8205315,6.4307379,,,,,,,,Aravis
to do,Pointe de la Mandallaz,2277,45.831442,6.44405,,,,,,,,Aravis
to do,L'Etale,2483,45.8497117,6.4473421,,,,,,,,Aravis
to do,Pointe de Blonnière,2369,45.8582431,6.4530857,,,,,,,,Aravis
to do,La Grande Torchère,2521,45.8940052,6.4936217,,,,,,,,Aravis
to do,La Roualle,2589,45.9007963,6.5025862,,,,,,,,Aravis
to do,Tête Pelouse,2537,45.9092579,6.5094535,,,,,,,,Aravis
,Trou de la Mouche,2453,45.9158613,6.5125929,Winter,Ski,2.2 / E1 PD / S3,9.8,5.2,1054,Trou_de_la_Mouche,Aravis
to do,Tête de Paccaly,2466,45.919117,6.5197888,,,,,,,,Aravis
,L'Ambrevetta,2463,45.92459,6.530977,Winter,Ski,2.3 / E1 PD / S3,11.5,5,1139,L'Abrevetta,Aravis
to do,Tardevant,2501,45.9265806,6.5261161,,,,,,,,Aravis
to do,La Mamule,2404,45.936464,6.528007,,,,,,,,Aravis
to do,Mont Charvet,2538,45.9424665,6.5387015,,,,,,,,Aravis
,Pointe Percée,2750,45.9557596,6.5559471,Summer,Hike,T5,13.7,5.5,1530,Pointe_Percée,Aravis
,Refuge de Gramusset,2164,45.955322,6.544481,Winter,Ski,2.3 / E1 PD+ / S4,15.8,1.5 days,1890,Gramusset,No Project
,Col des Verts,2499,45.9516369,6.5549256,Winter,Ski,2.3 / E1 PD+ / S4,15.8,1.5 days,1890,Gramusset,No Project
,Pointe de la Carmélite,2477,45.9615911,6.5590119,Winter,Ski,3.2 / E3 AD- / S4,15.8,1.5 days,1890,Gramusset,No Project
to do,Lac glaciaire du Grand Méan,2855,45.3632865,7.1328047,,,,,,,,No Project
,Le Môle,1853,46.1065823,6.4548201,Summer,Hike,T2,7.9,2.5,660,Le_Môle,No Project
,Pointe d'Andey,1845,46.0428713,6.4180282,Winter,Ski,F,7.9,2,834,Andey,No Project
,Le Toboggan (Valmorel),1922,45.449589,6.424995,Winter,Ski,2.3 / E2 PD+ / S3,5.7,2,634,Valmorel,No Project
,Mont Thabor,3178,45.114076,6.5637534,Winter,Ski,2.2 / E1 PD / S3,50.3,4 days,3030,Massif_des_Cerces,No Project
,Aiguillette des Posettes,2201,46.0181246,6.9402515,Winter,Ski,2.2 / E1 F / S1,14.2,4,1130,Posettes_&_Balme,No Project
,Tête de Balme,2321,46.0307486,6.9625084,Winter,Ski,PD / S3,14.2,4,1130,Posettes_&_Balme,No Project
,Monte Rite,2183,46.3845351,12.2578732,Winter,Ski,PD / S3,13,2.5,600,Monte_Rite,No Project
,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,Autumn,Ski,T2,13.5,4,1070,Ponta_Lastoi_de_Formin,No Project
to do,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,,,,,,,,No Project
to do,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,,,,,,,,No Project
to do,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,,,,,,,,No Project
to do,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,,,,,,,,No Project
to do,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,,,,,,,,No Project
to do,Ponta Lastoi de Formin,2657,46.4742592,12.0792608,,,,,,,,No Project
,Creux du Van,1462,46.9320198,6.7230127,,Trail running,T2,8.5,1.5,510,Creux_du_Van,No Project
to do,Le Chasseron,1607,46.851796,6.5382542,,,,,,,,No Project
to do,Petites Roches,1583,46.8429313,6.5279479,,,,,,,,No Project
to do,Le Cochet,1483,46.8340292,6.5170065,,,,,,,,No Project
,Aiguilles de Baulmes,1560,46.7911749,6.4723876,Summer,Mountaineering,T2,2,2,210,Aiguilles_de_Baulmes,No Project
,Dent de Vaulion,1483,46.6840409,6.351073,Summer,Hike,T2,29.6,9,1300,Dent_de_Vaulion_&_Mont_Tendre,No Project
,Mont Tendre,1679,46.5947242,6.3100337,,,,,,,,No Project
to do,Haut du Mollendruz,1440,46.6420489,6.3465116,,,,,,,,No Project
,Châtel,1432,46.6243501,6.3554084,Summer,Hike,T5,12,3,801,Châtel,No Project
,La Dôle,1677,46.4256492,6.0995546,Summer,Hike,T2,13,4,620,La_Dôle,No Project
,Petit Montrond,1549,46.3572821,6.0173465,Summer,Hike,T2,7.3,2.5,310,Petit_&_Grand_Montrond,No Project
,Grand Montrond,1600,46.3479913,6.0063507,,,,,,,,No Project
,Pierre de la Lune,1490,46.2221003,5.9030668,Winter,Hike,T2,23,2 days,1280,Gralet_&_La_Poutouille,No Project
,Gralet,1461,46.21468,5.898139,,,,,,,,No Project
,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
to do,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
to do,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
to do,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
to do,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
to do,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
to do,La Poutouille,1446,46.18815,5.870321,,,,,,,,No Project
,Canigou,2784,42.5189047,2.4565596,Été,Hike,T5,32,8,2200,El_Canigò,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
